Key,Type,Desc,Chinese (PRC),English,Chinese (Traditional),Japanese
d06/f,Text,," Kio
【！！！！！！！！！！！！！！！！！！！！！！】"," Kio
【!!!!!!!!】",,
d06/fh,Text,,要取走染血钥匙吗？,Pick the key in blood?,,
d06/fp,Text,,拾取了血染的钥匙,Get the key from blood,,
d06/g,Text,," Kio
【呼，手终于能自由活动了。】"," Kio
【Well, finally I free my hands.】",,
d06/g2,Text,," Kio
【得想想办法把道具拿回来。】"," Kio
【I have to figure out how I get my gears back.】",,
d06/p,Text,," Kio
【沾满血迹的洗手盆。】"," Kio
【Hand wash basin with blood.】",,
d06/z,Text,," Kio
【似乎.....是人的手......】"," Kio
【Human's Arms!!】",,
d06/z2,Text,," Kio
【好想快点离开这里......】"," Kio
【Hurry up to leave....】",,
d06/go,Text,," Kio
【血淋淋的肢体与内脏......】"," Kio
【Bloody organs......】",,
d06/go2,Text,," Kio
【我好想吐......】"," Kio
【I want to vomit......】",,
d06/a0,Text,," Kio
【这里应该有东西可以隔开手上的绳子。】"," Kio
【Here should be something can be used to cut the rope off my hands.】",,
d06/a2,Text,," Kio
【我找找看。】"," Kio
【Let me look around.】",,
d06/b0,Text,," 波波
【啊，这个雷也太响了，把我都吵醒了。】"," Bobo
【What a loud thunder! It totally wake me up!】",,
d06/b2,Text,," 波波
【咦？那个女生去哪了？？？】"," Bobo
【Eh? Where is that girl?】",,
d06/b3,Text,," 波波
【逃走了！？好大的胆子！！！】"," Bobo
【Did she run away!? Great courage!】",,
d06/b4,Text,," 波波
【不对，钥匙还在我身上！！！】"," Bobo
【It shouldn't be. I have the key with me!!】",,
d06/b5,Text,," 波波
【不可能逃走了！！！！妈的！！！给我出来！！】"," Bobo
【She can't leave without my key!! Bitch! Come out quickly!】",,
d06/b6,Text,," 波波
【是不是躲去厨房了！！！看我来把你弄死！】"," Bobo
【Are you in the kitchen!? I go to kill you bitch!】",,
d06/b7,Text,," Kio
【不好了！他要来厨房找我！】"," Kio
【No!! He is coming to me!】",,
d06/b8,Text,," Kio
【赶紧去厕所躲起来。】"," Kio
【Hurry up to hide into the toilet.】",,
d06/cut rope,Text,,绳子被割开了,Cut the rope off,,
d07/g,Text,," Kio
【好想洗澡啊，但现在不是时候。】"," Kio
【I wish to take a shower. But not now.】",,
d07/t,Text,," Kio
【现在并不想大便。】"," Kio
【I don't want to defecate now.】",,
d07/t2,Text,," Kio
【小便也不想。】"," Kio
【Neither urinate.】",,
d07/w,Text,," Kio
【普通的洗手盆，没有什么特别。】"," Kio
【A hand wash basin. Normally.】",,
d07/a,Text,," 波波
【躲到哪里出去！！】"," Bobo
【Where did you go!!】",,
d07/a2,Text,," 波波
【妈的怎么灯都坏了！！！】"," Bobo
【Holy shit! All the lights don't work!!】",,
d07/a3,Text,," 波波
【贱人给我出来！！！】"," Bobo
【Get out bitch!!】",,
d07/a4,Text,," 波波
【！！！！！！】"," Bobo
【!!!!!!】",,
d07/a5,Text,," 波波
【杀死你哦！！！！！！！！！！】"," Bobo
【I will kill you!!!】",,
d07/a6,Text,," 波波
【我要把你手指一根一根切下来！】"," Bobo
【Cut all of your fingers off!!!!!!】",,
d07/a7,Text,," 波波
【哈。。。。哈哈哈。。。】"," 波波
【Ha...Ha ha...】",,
d07/a8,Text,," 波波
【然后。。哈哈。内脏也挖出来煮汤。】"," Bobo
【And...Ha ha... Cook your organs!!】",,
d07/a9,Text,," 波波
【头也切下来，放到冰箱跟爸爸妈妈好好相处吧。】"," Bobo
【Cut your head and put it in the fridge!】",,
d07/a10,Text,," 波波
【虽然你的肉不多，不过也够我吃几顿。】"," Bobo
【Eat your body!!!!!】",,
d07/a11,Text,," 波波
【到底躲哪儿了！！是不是在客厅！！！！】"," Bobo
【Are you in the living room?? Bitch I am coming!!!】",,
d07/a12,Text,," Kio
【现在出去应该没事了。】"," Kio
【I think I can leave safely now.】",,
savepants/d07,Text,,厕所,Toilet,,
savepants/e01,Text,,学校操场,School gate,,
e01/a0,Text,," Kio
【！！！！】"," Kio
【!!!!】",,
e01/a1,Text,," Kio
【这！！这不是做梦！！】"," Kio
【This is not a dream!!】",,
e01/a2,Text,," Kio
【多明妮！！你在哪！？！！】"," Kio
【Domini! Where are you!?】",,
e01/a3,Text,," Kio
【。。。。。】"," Kio
【.....】",,
e01/a4,Text,," Kio
【前面就是学校了。】"," Kio
【There is a school in front of me.】",,
e01/a5,Text,," Kio
【应该会找到线索的。】"," Kio
【I think I can find some clue.】",,
e01/b0,Text,," Kio
【咦！！！】"," Kio
【Eh!!?】",,
e01/b1,Text,," Kio
【怎么这么多怪物！！？】"," Kio
【A lot of zombies!?】",,
e01/b2,Text,," Kio
【学。。。。。。学校也沦陷了！？】"," Kio
【Is it dangerous in the school?】",,
e01/b3,Text,," Kio
【怎么办！！】"," Kio
【What can I do now?】",,
e01/b4,Text,," Kio
【天啊，太多了！】"," Kio
【Oh my god! Too many!】",,
e01/b5,Text,," Kio
【来不及去想了，先进去教学楼吧！】"," Kio
【Get in the school right now!】",,
e01/b6,Text,," Kio
【啊啊啊啊啊啊啊啊啊啊。。。。。】"," Kio
【Ahhhhh....】",,
e01/c,Text,,"A.留在这里战斗
B.逃进教学楼","A.Stay and fight
B.Get into the school",,
e02/out,Text,," Kio
【最好别出去。。。】"," Kio
【Going out is not a good idea...】",,
e02/rp0,Text,," Kio
【本月优秀学习份子。】"," Kio
【Stars of this month.】",,
e02/rp1,Text,," Kio
【第一名黄文浩，第二名陈耀东，第三名谭志辉。】"," Kio
【Nobody....?】",,
e02/3p0,Text,," Kio
【禁止学生在电脑室玩电子游戏。】"," Kio
【Students are not allowed to play games in the computer room.】",,
e02/3p1,Text,," Kio
【抓到的学生要严格处理。】"," Kio
【Except playing ""Kio's adventure"".】",,
e02/gp0,Text,," Kio
【请同学们爱护绿化】"," Kio
【Please protect any plants.】",,
e02/gp1,Text,," Kio
【上周我们发现有同学在草地吃草，大家不要模仿。】"," Kio
【Last week we found some students eating grass. Please don't do it again.】",,
e02/gp2,Text,," Kio
【！？？！？！？】"," Kio
【What?】",,
e02/l,Text,," Kio
【snapline乐队下周将会来我们学校表演。】"," Kio
【Snapline Band will have a show in our school next week.】",,
e02/n0,Text,," Kio
【处分通知，千岛同学因为在学校外与不良分子打架斗殴。】"," Kio
【Punish annoncement. Qiandao fight against somebody outside the school.】",,
e02/n1,Text,," Kio
【学校给予她处分处理。】"," Kio
【We decide to punish her.】",,
e02/p,Text,," Kio
【只要学习好，就能娶到漂亮的老婆。】"," Kio
【If you study hard you are able to have a pretty wife.】",,
e02/pp0,Text,," Kio
【虽然学校没有禁止谈恋爱。】"," Kio
【Although students dating is allowed.】",,
e02/pp1,Text,," Kio
【但是希望有些同学自觉一点。】"," Kio
【Please....!】",,
e02/pp2,Text,," Kio
【不要公然在学校做出过份亲密的动作。】"," Kio
【DON'T kiss in front of single ones.】",,
e02/bl,Text,," Kio
【很多血。。。。】"," Kio
【Too much blood...】",,
e02/ga,Text,," Kio
【普通的裂痕，没什么特别。】"," Kio
【A crack. It's normal.】",,
e03a/p,Text,,有一张小纸条，是否拾取？,Pick a piece of paper?,,
e03a/p0,Text,,拾取了纸条A,Get the paper,,
savepants/e03b,Text,,学校一层西,Classroom A,,
savepants/e03f,Text,,学校二层东,Classroom B,,
e03g/a0,Text,," 失真的少年
【嘿，少女。】"," Boy A
【Hello.】",,
e03g/a1,Text,," Kio
【啊！？】"," Kio
【Me?】",,
e03g/a2,Text,," 失真的少年
【你过来，我跟你说点事情。】"," Boy A
【Come here. I tell you something.】",,
e03g/a3,Text,," Kio
【你你你你你这是怎么了！？】"," Kio
【What happened to you!?】",,
e03g/a4,Text,," Kio
【为什么你的头变成这样了！？！】"," Kio
【Why is your head turnning like this!?】",,
e03g/a5,Text,," 失真的少年
【是BUG。】"," Boy A
【This is a BUG.】",,
e03g/a6,Text,," Kio
【啊！？】"," Kio
【Ah!?】",,
e03g/a7,Text,," 失真的少年
【是游戏BUG。】"," Boy A
【Bug of this game.】",,
e03g/a8,Text,," 失真的少年
【我我我被卡住了，怎么也走不出来了。】"," Boy A
【I was stuck in this room.】",,
e03g/a9,Text,," Kio
【啊啊啊？？你能不能给我说明白一点？？】"," Kio
【What!? Would you pleased make me clear what you are talking about?】",,
e03g/a10,Text,," Kio
【是怎么回事？】"," Kio
【What is going on with you?】",,
e03g/a11,Text,," 失真的少年
【难道你不知道你是一个\0.5游\0.5戏\0.5人\0.5物\0.5吗？】"," Boy A
【Don't you realize you are a character in a game?】",,
e03g/a12,Text,," Kio
【。\0.5。\0.5。\0.5】"," Kio
【.\0.5.\0.5.\0.5】",,
e03g/a13,Text,," 失真的少年
【你不觉得这个世界很可怕吗，充满怪物。】"," Boy A
【Don't you think that this world is ridiculous?】",,
e03g/a14,Text,," Kio
【等等，你刚刚说的游戏人物是什么意思！？】"," Kio
【Wait! What do you mean by character in a game!?】",,
e03g/a15,Text,," 失真的少年
【就是我们都是游戏人物，我们其实在一个游戏里面。】"," Boy A
【That means we are living in a game.】",,
e03g/a16,Text,," Kio
【什么意思。。。】"," Kio
【That doesn't make sense to me...】",,
e03g/a17,Text,," 失真的少年
【你不相信是吗？】"," Boy A
【You don't believe?】",,
e03g/a18,Text,," Kio
【我凭什么要相信，我是活生生的人类啊。】"," Kio
【Why do I have to trust you? I am a living human.】",,
e03g/a19,Text,," 失真的少年
【那你不觉得这个世界很不可思议很恐怖吗。】"," Boy A
【Well don't you think that here are a lot of weird things?】",,
e03g/a20,Text,," Kio
【是很可怕，是很恐怖。】"," Kio
【Yes. Full of fear and blood.】",,
e03g/a21,Text,," Kio
【但是这不代表我就是一个游戏人物啊。】"," Kio
【But that doesn't mean I am in a game now.】",,
e03g/a22,Text,," 失真的少年
【那你告诉我，你想不想逃离这个恐怖的地方？】"," Boy A
【Up to you. Tell me, do you want to leave this horrible place?】",,
e03g/a23,Text,," Kio
【想啊，我当然想。】"," Kio
【Of course yes!】",,
e03g/a24,Text,," 失真的少年
【我们之前也很想逃离这里。】"," Boy A
【We have tried to escape.】",,
e03g/a25,Text,," 失真的少年
【然后听闻在这学校里有所谓的游戏漏洞能逃离游戏。】"," Boy A
【And I heard that there is a bug can help us, right in the school.】",,
e03g/a26,Text,," 失真的少年
【结果。。。】"," Boy A
【Finally..】",,
e03g/a27,Text,," 失真的少年
【漏洞没有让我们逃出去，而是让我一直卡死在这里。】"," Boy A
【That bug didn't help us to leave. It stuck us.】",,
e03g/a28,Text,," Kio
【。。。】"," Kio
【....】",,
e03g/a29,Text,," 失真的少年
【不过，我们后来知道了，真正能逃出去的漏洞。】"," Boy A
【After that, we found a right bug really can help us to run away.】",,
e03g/a30,Text,," 失真的少年
【是学校后方穿过澡堂的水族馆。】"," Boy A
【The bug is in the aquarium behind this school.】",,
e03g/a31,Text,," 失真的少年
【那里有真正的游戏漏洞。】"," Boy A
【You have to go through the bathroom.】",,
e03g/a32,Text,," 失真的少年
【让你离开这个恐怖的世界。】"," Boy A
【That's the only way to the aquarium.】",,
e03g/a33,Text,," Kio
【。。。。。。】"," Kio
【...........】",,
e03g/a35,Text,," 失真的少年
【我知道你现在还不相信。】"," Boy A
【I know you don't trust me.】",,
e03g/a36,Text,," 失真的少年
【但去一趟水族馆也无妨。】"," Boy A
【I just give you an advice.】",,
e03g/a37,Text,," Kio
【谢谢你。。。】"," Kio
【Thank you...】",,
e03g/a38,Text,," Kio
【我先告辞了。】"," Kio
【I am leaving..】",,
e07/a0,Text,,有一张小纸条，是否拾取？,Pick a piece of paper?,,
e07/a1,Text,,拾取了纸条B,Get the paper,,
e07/a2,Text,," Kio
【书中夹着东西？】"," Kio
【There is something cliped by this book.】",,
e08/pc,Text,,调查一下这台电脑？,Check out this computer?,,
e08/ph,Text,,请输入密码,Enter the code,,
e08/pwh,Text,,密码错误,Error,,
e08/pch,Text,,密码正确,Pass,,
e08/pch2,Text,,三楼铁门解锁了,Open the gate in level 3,,
e09b/a0,Text,," Kio
【！！！！！】"," Kio
【!!!】",,
e09b/a1,Text,," Kio
【灯呢？？？坏了！？！？】"," Kio
【Light!? Doesn't work!?】",,
e10/h,Text,,有一个洞，要钻进去不？,Get into the hole?,,
savepants/e10,Text,,学校杂物房,Storage in school,,
savepants/e11,Text,,学校二层,School level 2,,
e11/a0,Text,," Kio
【本月最差学生。】"," Kio
【The worst students this month.】",,
e11/a1,Text,," Kio
【赵子龙，陈曦，王杰。】"," Kio
【You.】",,
e11/b0,Text,," Kio
【通知，2楼厕所正在维修。】"," Kio
【Please notice. Toiltes at this level are being repaired.】",,
e11/b1,Text,," Kio
【因此暂停使用。】"," Kio
【Please use the ones at level 1.】",,
e11/c,Text,," Kio
【chinese football乐队面临解散。】"," Kio
【The band of Chinese Football is going to disband.】",,
e11/d,Text,," Kio
【只要有心，每天都是教师节。】"," Kio
【Everyday is the teacher's day if you wish.】",,
e11/e,Text,," Kio
【考不上大学就等于前途尽毁。】"," Kio
【You are useless if you can go to a university.】",,
e12/a0,Text,," Kio
【！？】"," Kio
【!?】",,
e12/a1,Text,," 兔子
【～～～】"," Bunny
【~~~】",,
e12/a2,Text,," Kio
【好可爱的兔子。】"," Kio
【Lovely bunny.】",,
e12/a3,Text,," 兔子
【你好～】"," Bunny
【Hello.】",,
e12/a4,Text,," Kio
【咦！？兔子会讲话！？】"," Kio
【What? Bunny can talk!?】",,
e12/a5,Text,," 兔子
【对啊～我会讲话。】"," Bunny
【Yes I can.】",,
e12/a6,Text,," Kio
【你你好啊！】"," Kio
【Hi!】",,
e12/a7,Text,," 兔子
【其实我们是守护人类的精灵。】"," Bunny
【In fact I am the elf who is protecting the human.】",,
e12/a8,Text,," 兔子
【现在周围都布满怪物，我们也帮助不了太多的人。】"," Bunny
【Now there are monsters everywhere.】",,
e12/a9,Text,," 兔子
【我们兔子也牺牲了很多。】"," Bunny
【I hope I can help more and more people.】",,
e12/a10,Text,," Kio
【这样啊。】"," Kio
【You are awesome.】",,
e12/a11,Text,," 兔子
【你跟我来吧，我带你去取些补给品。】"," Bunny
【Come with me. I lead you to find some supplements.】",,
e12/a12,Text,," 兔子
【有些医疗包还有子弹之类的东西给你。】"," Bunny
【Things like ammo and first-aid packet.】",,
e12/l,Text,,进入此房间会消耗10发手枪子弹,Spend 10 pistol ammo to get in,,
e12/l2,Text,,确定要进入吗？,Will you?,,
e12/ch,Text,,"A.跟着兔子走
B.别理它","A.Follow him
B.Ignore him",,
e12/l3,Text,,手枪子弹不足,Insufficient ammo,,
e13/a0,Text,," Kio
【。。。】"," Kio
【...】",,
e13/a1,Text,," Kio
【你好。。。】"," Kio
【Hello..】",,
e13/a2,Text,," 失真的少女
【Kio你好。】"," Girl A
【Hi, Kio.】",,
e13/a3,Text,," Kio
【你怎么知道我的名字。】"," Kio
【Why do you know my name?】",,
e13/a4,Text,," 失真的少女
【你是这个游戏的主人公嘛。】"," Girl A
【Because you are the leading character of this game.】",,
e13/a5,Text,," 失真的少女
【大家都知道你。】"," Girl A
【We all know about you.】",,
e13/a6,Text,," Kio
【果然。。。】"," Kio
【....】",,
e13/a7,Text,," Kio
【这真的是一个游戏吗？】"," Kio
【Is this really a game?】",,
e13/a8,Text,," 失真的少女
【是的，我们都是游戏人物。】"," Girl A
【Yes. We are the characters in this game.】",,
e13/a9,Text,," 失真的少女
【而我只是一个普通的npc，所以其实。。】"," Girl A
【I am just an NPC.】",,
e13/a10,Text,," 失真的少女
【其实我们都蛮羡慕你的。】"," Girl A
【You can move and talk. In fact, we are quite envious of you. 】",,
e13/a11,Text,," Kio
【。。。。。。】"," Kio
【....】",,
e13/a12,Text,," Kio
【那我，应该怎么办。。】"," Kio
【How can I do...】",,
e13/a13,Text,," 失真的少女
【没怎么办，加油吧。】"," Girl A
【Just keep fighting.】",,
e13/a14,Text,," 失真的少女
【小心学校里吃人的大怪物。】"," Girl A
【And beware of here is a big monster which is eating people.】",,
e13/a15,Text,," Kio
【吃人的大怪物！？】"," Kio
【Big monster? Eating people?】",,
e13/a16,Text,," 失真的少女
【是的。。小心。。】"," Girl A
【Yes. Be careful.】",,
e14/a0,Text,," Kio
【这里感觉好不舒服。。。。】"," Kio
【I don't like here...】",,
e14/a1,Text,," Kio
【兔子先生？】"," Kio
【Mr Bunny?】",,
e14/a2,Text,," Kio
【亲爱的兔子先生你在哪？？】"," Kio
【Where are you Mr Bunny?】",,
e14/a3,Text,," Kio
【原来你在这里啊。】"," Kio
【Here you are!】",,
e14/a4,Text,," Kio
【拜托，别搞恶作剧吓唬我嘛。】"," Kio
【Please don't make a practical joke to scare me.】",,
e14/a5,Text,," Kio
【兔子先生。。。。。】"," Kio
【Mr Bunny...】",,
e14/a6,Text,," Kio
【你的兄弟是不是有点多。。。。。】"," Kio
【Don't you think there are too many bunnies....】",,
e14/a7,Text,," 兔子
【。。。。。。】"," Bunny
【.........】",,
e15/a0,Text,," 失真的少女
【我被卡住了。】"," Girl B
【I am stuck.】",,
e15/a1,Text,," 失真的少女
【我的命运只能永远这样吗？】"," Girl B
【Why am I so sad.】",,
e15/a2,Text,," 失真的少女
【为什么你却可以周围走动。。。】"," Girl B
【Why only you can move...】",,
e15/a3,Text,," 失真的少女
【为什么卡住的不是你？】"," Girl B
【Why you are not suck?】",,
e15/a4,Text,," Kio
【。。。。。。】"," Kio
【....】",,
e15/b0,Text,," 失真的少女
【这个房间并没有多大的意义。】"," Girl C
【This room doesn't make any sense.】",,
e15/b1,Text,," 失真的少女
【只不过是一些无聊的对话而已。】"," Girl C
【Just some bored NPCs here.】",,
e15/b2,Text,," Kio
【。。。。。。】"," Kio
【.....】",,
e15/c0,Text,," 失真的少年
【赶紧离开这里吧。】"," Boy B
【Hurry up to leave.】",,
e15/c1,Text,," Kio
【恩，我正在努力着。】"," Kio
【Well, I am trying.】",,
e15/c2,Text,," 失真的少年
【在水族馆会有真正的bug，离开这个游戏。】"," Boy B
【In aquarium there is a bug which can help you leave.】",,
e15/c3,Text,," Kio
【好的，我会加油。】"," Kio
【Thank you. I am going to.】",,
e17/a0,Text,,得到了一张磁卡,Get an ID card,,
e17/aw,Text,,好像没什么反应,Nothing happened,,
f01/a0,Text,," Kio
【这里，是学校的澡堂吧。】"," Kio
【Here is the bathroom.】",,
f01/a1,Text,," Kio
【！！！】"," Kio
【!!!!!】",,
f01/a2,Text,," Kio
【那！那是什么东西！？】"," Kio
【What is that!?】",,
f01/a3,Text,," Kio
【这就是学校里吃人的怪物吗！？】"," Kio
【Is that the monster which is eating people!?】",,
f01/b0,Text,," Kio
【呼呼。。终于摆平这货了。。。】"," Kio
【It's finish...】",,
f01/b1,Text,," Kio
【尸体后面好像有个洞？】"," Kio
【There is a hole on the wall.】",,
f01/b2,Text,," Kio
【我记得那谁说过，学校后面是水族馆，然后水族馆有BUG什么的。。。】"," Kio
【I remember someone told me there is an aquarium outside the bathroom.】",,
f01/b3,Text,," Kio
【好吧，车到山前必有路，就钻进去瞧瞧吧。】"," Kio
【Well, just go through that hole and have a look.】",,
f02/dont go back,Text,," Kio
【不想回头了。】"," Kio
【Don't wanna go back again.】",,
f03/a0,Text,," Kio
【雨停了。。。。】"," Kio
【The rain stops...】",,
f03/a1,Text,," Kio
【前面应该就是水族馆了。】"," Kio
【I think the aquarium is over there.】",,
f03/a2,Text,," Kio
【既然已经来到这里，坚持下去吧。】"," Kio
【Keep moving.】",,
savepants/g02,Text,,水族馆,Aquarium ,,
g03/a0,Text,," 巨人
【你好。。。】"," Giant
【Hello...】",,
g03/a1,Text,," Kio
【。。。。。】"," Kio
【.....】",,
g03/a2,Text,," 巨人
【你是不是来这里找离开游戏的BUG？】"," Giant
【Do you come here for the bug which can help you leave the game?】",,
g03/a3,Text,," Kio
【是的。。】"," Kio
【Yes...】",,
g03/a4,Text,," 巨人
【嗯。。。。。】"," Giant
【Well..】",,
g03/a5,Text,," 巨人
【这个房间里。】"," Giant
【In this room.】",,
g03/a6,Text,," 巨人
【从左边数起第六格地砖。】"," Giant
【You stand on the sixth tile from the left side.】",,
g03/a7,Text,," 巨人
【站在那里对着墙壁开一枪。】"," Giant
【And shoot the wall.】",,
g03/a8,Text,," 巨人
【然后再到左边数起第4格地砖。】"," Giant
【After that, you stand on the fourth tile from the left side.】",,
g03/a9,Text,," 巨人
【也是站在那里对墙壁开一枪。】"," Giant
【Shoot the wall again.】",,
g03/a10,Text,," 巨人
【然后再回来找我吧。】"," Giant
【Then come back to me when you finish.】",,
g03/b0,Text,," Kio
【我已经按照你说的去做了。】"," Kio
【I did what you told.】",,
g03/b1,Text,," Kio
【什么事情都没有发生啊。】"," Kio
【But nothing happened after all.】",,
g03/b2,Text,," 巨人
【对啊。不会发生任何事。】"," Giant
【Right, nothing will happen.】",,
g03/b3,Text,," Kio
【。。。。。。。。。。】"," Kio
【............】",,
g03/b4,Text,," Kio
【你耍我啊。。】"," Kio
【You make trick to me...】",,
g03/b5,Text,," 巨人
【不不不，你现在只要走去左起第八格墙壁。】"," Giant
【No. Now you go to the 8th tile from the left side.】",,
g03/b6,Text,," 巨人
【然后摸一下墙壁就能离开了。】"," Giant
【And touch the wall.】",,
g03/b7,Text,," Kio
【。。。。。。。。。。】"," Kio
【......】",,
g03/b8,Text,," Kio
【感觉不太可信。。】"," Kio
【I can't trust...】",,
g03/b9,Text,," 巨人
【是真的。。。】"," Giant
【It's real....】",,
g03/b10,Text,," Kio
【好吧。我去试试。】"," Kio
【OK. I have a try.】",,
g03/w,Text,,是否要摸一下墙壁?,Touch the wall?,,
g03/c0,Text,," 巨人
【哇，你干嘛开枪打我。】"," Giant
【Why did you shoot me?】",,
g03/c1,Text,," 巨人
【幸好这个是防弹玻璃。】"," Giant
【Luckily this is a bullet proof glass.】",,
g03/c2,Text,," 巨人
【那我告诉你一件事情吧。】"," Giant
【Well I tell you something.】",,
g03/c3,Text,," 巨人
【从左边数起第十七格的墙壁，你摸摸看。】"," Giant
【Stand on the 17th tile from the left side.】",,
g03/c4,Text,," 巨人
【会有意外收获。】"," Giant
【Touch the wall.】",,
g05/a0,Text,," Kio
【这里！！！这里！！！】"," Kio
【Ah!! This place!!】",,
g05/a1,Text,," Kio
【这里不就是困住多明妮的地方吗！？】"," Kio
【This is the room that imprison Domini!】",,
g05/a2,Text,," Kio
【多明妮！！！你在哪里！？】"," Kio
【Domini!! Where are you!?】",,
g05/a3,Text,," Kio
【一定在附近！赶紧找！】"," Kio
【Should be closed!!】",,
g05/b0,Text,," Kio
【多明妮！！！】"," Kio
【Domini!!】",,
g05/b1,Text,," Kio
【你在哪里啊！！！】"," Kio
【Where are you!???】",,
g05/b2,Text,," Kio
【我来救你啦！！！！！！】"," Kio
【I come for you!!】",,
g05/c0,Text,," Kio
【啊！！！】"," Kio
【Ah!!】",,
g05/c1,Text,," Kio
【多明妮！！！】"," Kio
【Domini!!】",,
g05/c2,Text,," Kio
【你怎么了！！！】"," Kio
【How are you!!?】",,
g05/c3,Text,," Kio
【我来放你下来！】"," Kio
【I am going to free you!】",,
g05/c4,Text,," Kio
【！！！！！！！！！！】"," Kio
【!!!!!!】",,
g05/c5,Text,," 多明妮
【。。。。。。】"," Domini
【.........】",,
g05/c6,Text,," Kio
【！！！！！！！！】"," Kio
【!!!!!!】 ",,
g05/c7,Text,," Kio
【哇啊啊啊啊！！！！！】"," Kio
【Ahhhhhh!!!!!】",,
g05/c8,Text,," Kio
【哇哇哇哇哇啊啊啊啊啊！！！】"," Kio
【Ahhhhhhhh!!!!!!!!!!!!!】",,
g05/c9,Text,," Kio
【不要啊！！！！！！！！！】"," Kio
【No!!!!】",,
g05/c10,Text,," Kio
【啊啊啊啊啊！！！】"," Kio
【No no no no!!】",,
g05/c11,Text,," Kio
【呜呜呜呜呜！】"," Kio
【Boohoo!!】",,
g05/c12,Text,," 多明妮
【Kio。。。。。】"," Domini
【Kio....】",,
g05/c13,Text,," 多明妮
【快离开吧。。。】"," Domini
【Leave me alone..】",,
g05/c14,Text,," 多明妮
【找到能逃离游戏的Bug】"," Domini
【Go to find the bug.】",,
g05/c15,Text,," 多明妮
【或许能救我。。。】"," Domini
【Maybe it can help me...】",,
g05/c16,Text,," Kio
【好的！你等我！！】"," Kio
【OK!! Wait for me!!】",,
g05/c17,Text,," Kio
【我一定会回来救你的！】"," Kio
【I will save you!! I swear!!】",,
g05/d,Text,," Kio
【呜呜呜呜。】"," Kio
【Woooo....】",,
h/a,Text,,是否要进入我的电脑?,Go into my computer?,,
savepants/h04,Text,,漏洞,Bug,,
h05/a0,Text,," Kio
【这里到底是什么地方啊。】"," Kio
【Where am I?】",,
h05/a1,Text,," Kio
【要去哪里才能离开？】"," Kio
【Where should I go?】",,
h05/a2,Text,," 最终Boss
【哈哈哈哈哈哈！】"," Boss
【Hahahaha!】",,
h05/a3,Text,," 最终Boss
【想离开！？你能打赢我吗！？】"," Boss
【You can leave if you defeat me!】",,
h05/a4,Text,," Kio
【！？？！？！】"," Kio
【!!!!???】",,
h05/a5,Text,," Kio
【什么人！！】"," Kio
【Who is that!?】",,
hboss/a0,Text,," 最终Boss
【我，就是这个游戏的最终boss！】"," Boss
【I am the final boss of this game!】",,
hboss/a1,Text,," Kio
【最终boss？？？】"," Kio
【Final boss??】",,
hboss/a2,Text,," 最终Boss
【对的，作为一个游戏，有最终Boss很合情合理。】"," Boss
【Right. In a game there should be a final boss.】",,
hboss/a3,Text,," 最终Boss
【你能打到来这里，虽然证明不了你是个厉害的玩家。】"," Boss
【Althrough it can not prove that you are a powerful player.】",,
hboss/a4,Text,," 最终Boss
【不过，你一定是一个老玩家。】"," Boss
【At least you are a senior player.】",,
hboss/a5,Text,," 最终Boss
【新时代的年轻人的耐性与技术是不可能见到我的。】"," Boss
【A junior player have no patience to go through this hard game and meet me.】",,
hboss/a6,Text,," 最终Boss
【因为现代的游戏都太简单了。】"," Boss
【Because the new games are too simple in this decade.】",,
hboss/a7,Text,," 最终Boss
【只要花时间，就一定能通关。】"," Boss
【If you spend enough time that you almost can go through every game.】",,
hboss/a8,Text,," 最终Boss
【但是以前的游戏却不一样，指引很少，而且难度也高。】"," Boss
【But the old games are less guid and more difficult than the new ones.】",,
hboss/a9,Text,," 最终Boss
【恭喜你能来到这里。】"," Boss
【At last congratulations to you that you come here.】",,
hboss/a10,Text,," 最终Boss
【不过，你能打赢我再说吧！】"," Boss
【However you have to defeat me to reach the ending.】",,
hboss/a11,Text,," 最终Boss
【如果你输了的话，又得重新看多一次刚刚的剧情。哈哈哈！】"," Boss
【If you lose, you must listen to my bullshit again.】",,
hboss/a12,Text,," 最终Boss
【这就是老游戏。】"," Boss
【This is a kind of old games.】",,
hboss/b0,Text,," 最终Boss
【哈哈，不错嘛。】"," Boss
【Well done.】",,
hboss/b1,Text,," 最终Boss
【接下来才是我真正的实力！】"," Boss
【Next that is my real power!】",,
hboss/b2,Text,," 最终Boss
【放马过来。】"," Boss
【Let's fight.】",,
hboss/c0,Text,," 最终Boss
【。。。。。。】"," Boss
【........】",,
hboss/c1,Text,," 最终Boss
【。。。。。。。。】"," Boss
【........】",,
hboss/c2,Text,," 最终Boss
【。。。。。。。。。。。。。】"," Boss
【............】",,
hboss/c3,Text,," 最终Boss
【恭喜你。】"," Boss
【Congratulations!】",,
hboss/c4,Text,," 最终Boss
【你赢了。】"," Boss
【You beat me.】",,
hboss/c5,Text,," 最终Boss
【你打败我了。】"," Boss
【You win.】",,
hboss/c6,Text,," 最终Boss
【看来制作者并没有把我设计得太强。】"," Boss
【It looks like the game maker didn't make me strong engough.】",,
hboss/c7,Text,," 最终Boss
【我高估了自己。】"," Boss
【I overestimate myself.】",,
hboss/c8,Text,," 最终Boss
【再见了。】"," Boss
【Bye.】",,
end/a0,Text,," Kio
【。。。。。。。】"," Kio
【.......】",,
