Key,Type,Desc,English,Chinese (PRC),Chinese (Traditional),Japanese
d06/g2,Text,," Kio
【I have to figure out how I get my gears back.】"," Kio
【得想想办法把道具拿回来。】",,
d06/p,Text,," Kio
【Hand wash basin with blood.】"," Kio
【沾满血迹的洗手盆。】",,
d06/z,Text,," Kio
【Human's Arms!!】"," Kio
【似乎.....是人的手......】",,
d06/z2,Text,," Kio
【Hurry up to leave....】"," Kio
【好想快点离开这里......】",,
d06/go,Text,," Kio
【Bloody organs......】"," Kio
【血淋淋的肢体与内脏......】",,
d06/go2,Text,," Kio
【I want to vomit......】"," Kio
【我好想吐......】",,
d06/a0,Text,," Kio
【Here should be something can be used to cut the rope off my hands.】"," Kio
【这里应该有东西可以隔开手上的绳子。】",,
d06/a2,Text,," Kio
【Let me look around.】"," Kio
【我找找看。】",,
d06/b0,Text,," Bobo
【What a loud thunder! It totally woke me up!】"," 波波
【啊，这个雷也太响了，把我都吵醒了。】",,
d06/b2,Text,," Bobo
【Eh? Where is that girl?】"," 波波
【咦？那个女生去哪了？？？】",,
d06/b3,Text,," Bobo
【Did she run away!? Great courage!】"," 波波
【逃走了！？好大的胆子！！！】",,
d06/b4,Text,," Bobo
【It shouldn't be. I have the key with me!!】"," 波波
【不对，钥匙还在我身上！！！】",,
d06/b5,Text,," Bobo
【She can't leave without my key!! Bitch! Come out quickly!】"," 波波
【不可能逃走了！！！！妈的！！！给我出来！！】",,
d06/b6,Text,," Bobo
【Are you in the kitchen!? I am going to kill you bitch!】"," 波波
【是不是躲去厨房了！！！看我来把你弄死！】",,
d06/b7,Text,," Kio
【No!! He is coming to me!】"," Kio
【不好了！他要来厨房找我！】",,
d06/b8,Text,," Kio
【Hurry up to hide into the toilet.】"," Kio
【赶紧去厕所躲起来。】",,
d06/cut rope,Text,,Cut the rope off,绳子被割开了,,
d07/g,Text,," Kio
【I wish to take a shower. But not now.】"," Kio
【好想洗澡啊，但现在不是时候。】",,
d07/t,Text,," Kio
【I don't want to defecate now.】"," Kio
【现在并不想大便。】",,
d07/t2,Text,," Kio
【Neither urinate.】"," Kio
【小便也不想。】",,
d07/w,Text,," Kio
【A hand wash basin. Normally.】"," Kio
【普通的洗手盆，没有什么特别。】",,
d07/a,Text,," Bobo
【Where did you go!!】"," 波波
【躲到哪里出去！！】",,
d07/a2,Text,," Bobo
【Holy shit! All the lights don't work!!】"," 波波
【妈的怎么灯都坏了！！！】",,
d07/a3,Text,," Bobo
【Get out bitch!!】"," 波波
【贱人给我出来！！！】",,
d07/a4,Text,," Bobo
【!!!!!!】"," 波波
【！！！！！！】",,
d07/a5,Text,," Bobo
【I will kill you!!!】"," 波波
【杀死你哦！！！！！！！！！！】",,
d07/a6,Text,," Bobo
【Cut all of your fingers off!!!!!!】"," 波波
【我要把你手指一根一根切下来！】",,
d07/a7,Text,," Bobo
【Ha...Ha ha...】"," 波波
【哈。。。。哈哈哈。。。】",,
d07/a8,Text,," Bobo
【And...Ha ha... Cook your organs!!】"," 波波
【然后。。哈哈。内脏也挖出来煮汤。】",,
d07/a9,Text,," Bobo
【Cut your head and put it in the fridge!】"," 波波
【头也切下来，放到冰箱跟爸爸妈妈好好相处吧。】",,
d07/a10,Text,," Bobo
【Eat your body!!!!!】"," 波波
【虽然你的肉不多，不过也够我吃几顿。】",,
d07/a11,Text,," Bobo
【Are you in the living room?? Bitch I am coming!!!】"," 波波
【到底躲哪儿了！！是不是在客厅！！！！】",,
d07/a12,Text,," Kio
【I think I can leave safely now.】"," Kio
【现在出去应该没事了。】",,
savepants/d07,Text,,Toilet,厕所,,
savepants/e01,Text,,School gate,学校操场,,
e01/a0,Text,," Kio
【!!!!】"," Kio
【！！！！】",,
e01/a1,Text,," Kio
【This is not a dream!!】"," Kio
【这！！这不是做梦！！】",,
e01/a2,Text,," Kio
【Domini! Where are you!?】"," Kio
【多明妮！！你在哪！？！！】",,
e01/a3,Text,," Kio
【.....】"," Kio
【。。。。。】",,
e01/a4,Text,," Kio
【There is a school in front of me.】"," Kio
【前面就是学校了。】",,
e01/a5,Text,," Kio
【I think I can find some clue.】"," Kio
【应该会找到线索的。】",,
e01/b0,Text,," Kio
【Eh!!?】"," Kio
【咦！！！】",,
e01/b1,Text,," Kio
【A lot of zombies!?】"," Kio
【怎么这么多怪物！！？】",,
e01/b2,Text,," Kio
【Is it dangerous in the school?】"," Kio
【学。。。。。。学校也沦陷了！？】",,
e01/b3,Text,," Kio
【What can I do now?】"," Kio
【怎么办！！】",,
e01/b4,Text,," Kio
【Oh my god! Too many!】"," Kio
【天啊，太多了！】",,
e01/b5,Text,," Kio
【Get in the school right now!】"," Kio
【来不及去想了，先进去教学楼吧！】",,
e01/b6,Text,," Kio
【Ahhhhh....】"," Kio
【啊啊啊啊啊啊啊啊啊啊。。。。。】",,
e01/c,Text,,"A.Stay and fight
B.Get into the school","A.留在这里战斗
B.逃进教学楼",,
e02/out,Text,," Kio
【Going out is not a good idea...】"," Kio
【最好别出去。。。】",,
e02/rp0,Text,," Kio
【Stars of this month.】"," Kio
【本月优秀学习份子。】",,
e02/rp1,Text,," Kio
【Nobody....?】"," Kio
【第一名黄文浩，第二名陈耀东，第三名谭志辉。】",,
e02/3p0,Text,," Kio
【Students are not allowed to play games in the computer room.】"," Kio
【禁止学生在电脑室玩电子游戏。】",,
e02/3p1,Text,," Kio
【Except playing ""Kio's adventure"".】"," Kio
【抓到的学生要严格处理。】",,
e02/gp0,Text,," Kio
【Please protect any plants.】"," Kio
【请同学们爱护绿化】",,
e02/gp1,Text,," Kio
【Last week we found some students eating grass. Please don't do it again.】"," Kio
【上周我们发现有同学在草地吃草，大家不要模仿。】",,
e02/gp2,Text,," Kio
【What?】"," Kio
【！？？！？！？】",,
e02/l,Text,," Kio
【Snapline Band will have a show in our school next week.】"," Kio
【snapline乐队下周将会来我们学校表演。】",,
e02/n0,Text,," Kio
【Punish annoncement. Qiandao fight against somebody outside the school.】"," Kio
【处分通知，千岛同学因为在学校外与不良分子打架斗殴。】",,
e02/n1,Text,," Kio
【We decide to punish her.】"," Kio
【学校给予她处分处理。】",,
e02/p,Text,," Kio
【If you study hard you are able to have a pretty wife.】"," Kio
【只要学习好，就能娶到漂亮的老婆。】",,
e02/pp0,Text,," Kio
【Although students dating is allowed.】"," Kio
【虽然学校没有禁止谈恋爱。】",,
e02/pp1,Text,," Kio
【Please....!】"," Kio
【但是希望有些同学自觉一点。】",,
e02/pp2,Text,," Kio
【DON'T kiss in front of single ones.】"," Kio
【不要公然在学校做出过份亲密的动作。】",,
e02/bl,Text,," Kio
【Too much blood...】"," Kio
【很多血。。。。】",,
e02/ga,Text,," Kio
【A crack. It's normal.】"," Kio
【普通的裂痕，没什么特别。】",,
e03a/p,Text,,Pick up a piece of paper?,有一张小纸条，是否拾取？,,
e03a/p0,Text,,Get the paper,拾取了纸条A,,
savepants/e03b,Text,,Classroom A,学校一层西,,
savepants/e03f,Text,,Classroom B,学校二层东,,
e03g/a0,Text,," Boy A
【Hello.】"," 失真的少年
【嘿，少女。】",,
e03g/a1,Text,," Kio
【Me?】"," Kio
【啊！？】",,
e03g/a2,Text,," Boy A
【Come here. I tell you something.】"," 失真的少年
【你过来，我跟你说点事情。】",,
e03g/a3,Text,," Kio
【What happened to you!?】"," Kio
【你你你你你这是怎么了！？】",,
e03g/a4,Text,," Kio
【Why is your head turnning like this!?】"," Kio
【为什么你的头变成这样了！？！】",,
e03g/a5,Text,," Boy A
【This is a BUG.】"," 失真的少年
【是BUG。】",,
e03g/a6,Text,," Kio
【Ah!?】"," Kio
【啊！？】",,
e03g/a7,Text,," Boy A
【Bug of this game.】"," 失真的少年
【是游戏BUG。】",,
e03g/a8,Text,," Boy A
【I was stuck in this room.】"," 失真的少年
【我我我被卡住了，怎么也走不出来了。】",,
e03g/a9,Text,," Kio
【What!? Would you pleased make me clear what you are talking about?】"," Kio
【啊啊啊？？你能不能给我说明白一点？？】",,
e03g/a10,Text,," Kio
【What is going on with you?】"," Kio
【是怎么回事？】",,
e03g/a11,Text,," Boy A
【Don't you realize you are a character in a game?】"," 失真的少年
【难道你不知道你是一个\0.5游\0.5戏\0.5人\0.5物\0.5吗？】",,
e03g/a12,Text,," Kio
【.\0.5.\0.5.\0.5】"," Kio
【。\0.5。\0.5。\0.5】",,
e03g/a13,Text,," Boy A
【Don't you think that this world is ridiculous?】"," 失真的少年
【你不觉得这个世界很可怕吗，充满怪物。】",,
e03g/a14,Text,," Kio
【Wait! What do you mean by character in a game!?】"," Kio
【等等，你刚刚说的游戏人物是什么意思！？】",,
e03g/a15,Text,," Boy A
【That means we are living in a game.】"," 失真的少年
【就是我们都是游戏人物，我们其实在一个游戏里面。】",,
e03g/a16,Text,," Kio
【That doesn't make sense to me...】"," Kio
【什么意思。。。】",,
e03g/a17,Text,," Boy A
【You don't believe?】"," 失真的少年
【你不相信是吗？】",,
e03g/a18,Text,," Kio
【Why do I have to trust you? I am a living human.】"," Kio
【我凭什么要相信，我是活生生的人类啊。】",,
e03g/a19,Text,," Boy A
【Well don't you think that here are a lot of weird things?】"," 失真的少年
【那你不觉得这个世界很不可思议很恐怖吗。】",,
e03g/a20,Text,," Kio
【Yes. Full of fear and blood.】"," Kio
【是很可怕，是很恐怖。】",,
e03g/a21,Text,," Kio
【But that doesn't mean I am in a game now.】"," Kio
【但是这不代表我就是一个游戏人物啊。】",,
e03g/a22,Text,," Boy A
【Up to you. Tell me, do you want to leave this horrible place?】"," 失真的少年
【那你告诉我，你想不想逃离这个恐怖的地方？】",,
e03g/a23,Text,," Kio
【Of course yes!】"," Kio
【想啊，我当然想。】",,
e03g/a24,Text,," Boy A
【We had tried to escape.】"," 失真的少年
【我们之前也很想逃离这里。】",,
e03g/a25,Text,," Boy A
【And I heard that there is a bug can help us, right in the school.】"," 失真的少年
【然后听闻在这学校里有所谓的游戏漏洞能逃离游戏。】",,
e03g/a26,Text,," Boy A
【Finally..】"," 失真的少年
【结果。。。】",,
e03g/a27,Text,," Boy A
【That bug didn't help us to leave. It stuck us.】"," 失真的少年
【漏洞没有让我们逃出去，而是让我一直卡死在这里。】",,
e03g/a28,Text,," Kio
【....】"," Kio
【。。。】",,
e03g/a29,Text,," Boy A
【After that, we found a right bug really can help us to run away.】"," 失真的少年
【不过，我们后来知道了，真正能逃出去的漏洞。】",,
e03g/a30,Text,," Boy A
【This bug is in the aquarium behind this school.】"," 失真的少年
【是学校后方穿过澡堂的水族馆。】",,
e03g/a31,Text,," Boy A
【You have to go through the bathroom.】"," 失真的少年
【那里有真正的游戏漏洞。】",,
e03g/a32,Text,," Boy A
【That's the only way to the aquarium.】"," 失真的少年
【让你离开这个恐怖的世界。】",,
e03g/a33,Text,," Kio
【...........】"," Kio
【。。。。。。】",,
e03g/a35,Text,," Boy A
【I know you don't trust me.】"," 失真的少年
【我知道你现在还不相信。】",,
e03g/a36,Text,," Boy A
【I just give you an advice.】"," 失真的少年
【但去一趟水族馆也无妨。】",,
e03g/a37,Text,," Kio
【Thank you...】"," Kio
【谢谢你。。。】",,
e03g/a38,Text,," Kio
【I am leaving..】"," Kio
【我先告辞了。】",,
e07/a0,Text,,Pick up a piece of paper?,有一张小纸条，是否拾取？,,
e07/a1,Text,,Get the paper,拾取了纸条B,,
e07/a2,Text,," Kio
【There is something cliped by this book.】"," Kio
【书中夹着东西？】",,
e08/pc,Text,,Check out this computer?,调查一下这台电脑？,,
e08/ph,Text,,Enter the code,请输入密码,,
e08/pwh,Text,,Error,密码错误,,
e08/pch,Text,,Pass,密码正确,,
e08/pch2,Text,,Open the gate in level 3,三楼铁门解锁了,,
e09b/a0,Text,," Kio
【!!!】"," Kio
【！！！！！】",,
e09b/a1,Text,," Kio
【Light!? Doesn't work!?】"," Kio
【灯呢？？？坏了！？！？】",,
e10/h,Text,,Get into the hole?,有一个洞，要钻进去不？,,
savepants/e10,Text,,Storage in school,学校杂物房,,
savepants/e11,Text,,School level 2,学校二层,,
e11/a0,Text,," Kio
【The worst students this month.】"," Kio
【本月最差学生。】",,
e11/a1,Text,," Kio
【You.】"," Kio
【赵子龙，陈曦，王杰。】",,
e11/b0,Text,," Kio
【Please notice. Toiltes at this level are being repaired.】"," Kio
【通知，2楼厕所正在维修。】",,
e11/b1,Text,," Kio
【Please use the ones at level 1.】"," Kio
【因此暂停使用。】",,
e11/c,Text,," Kio
【The band of Chinese Football is going to disband.】"," Kio
【chinese football乐队面临解散。】",,
e11/d,Text,," Kio
【Everyday is the teacher's day if you wish.】"," Kio
【只要有心，每天都是教师节。】",,
e11/e,Text,," Kio
【You are useless if you can't go to a university.】"," Kio
【考不上大学就等于前途尽毁。】",,
e12/a0,Text,," Kio
【!?】"," Kio
【！？】",,
e12/a1,Text,," Bunny
【~~~】"," 兔子
【～～～】",,
e12/a2,Text,," Kio
【Lovely bunny.】"," Kio
【好可爱的兔子。】",,
e12/a3,Text,," Bunny
【Hello.】"," 兔子
【你好～】",,
e12/a4,Text,," Kio
【What? Bunny can talk!?】"," Kio
【咦！？兔子会讲话！？】",,
e12/a5,Text,," Bunny
【Yes I can.】"," 兔子
【对啊～我会讲话。】",,
e12/a6,Text,," Kio
【Hi!】"," Kio
【你你好啊！】",,
e12/a7,Text,," Bunny
【In fact I am the elf who is protecting the human.】"," 兔子
【其实我们是守护人类的精灵。】",,
e12/a8,Text,," Bunny
【Now there are monsters everywhere.】"," 兔子
【现在周围都布满怪物，我们也帮助不了太多的人。】",,
e12/a9,Text,," Bunny
【I hope I can help more and more people.】"," 兔子
【我们兔子也牺牲了很多。】",,
e12/a10,Text,," Kio
【You are awesome.】"," Kio
【这样啊。】",,
e12/a11,Text,," Bunny
【Come with me. I lead you to find some supplements.】"," 兔子
【你跟我来吧，我带你去取些补给品。】",,
e12/a12,Text,," Bunny
【Things like ammo and first-aid packet.】"," 兔子
【有些医疗包还有子弹之类的东西给你。】",,
e12/l,Text,,Spend 10 pistol ammo to get in,进入此房间会消耗10发手枪子弹,,
e12/l2,Text,,Will you?,确定要进入吗？,,
e12/ch,Text,,"A.Follow him
B.Ignore him","A.跟着兔子走
B.别理它",,
e12/l3,Text,,Insufficient ammo,手枪子弹不足,,
e13/a0,Text,," Kio
【...】"," Kio
【。。。】",,
e13/a1,Text,," Kio
【Hello..】"," Kio
【你好。。。】",,
e13/a2,Text,," Girl A
【Hi, Kio.】"," 失真的少女
【Kio你好。】",,
e13/a3,Text,," Kio
【Why do you know my name?】"," Kio
【你怎么知道我的名字。】",,
e13/a4,Text,," Girl A
【Because you are the leading character of this game.】"," 失真的少女
【你是这个游戏的主人公嘛。】",,
e13/a5,Text,," Girl A
【We all know about you.】"," 失真的少女
【大家都知道你。】",,
e13/a6,Text,," Kio
【....】"," Kio
【果然。。。】",,
e13/a7,Text,," Kio
【Is this really a game?】"," Kio
【这真的是一个游戏吗？】",,
e13/a8,Text,," Girl A
【Yes. We are the characters in this game.】"," 失真的少女
【是的，我们都是游戏人物。】",,
e13/a9,Text,," Girl A
【I am just an NPC.】"," 失真的少女
【而我只是一个普通的npc，所以其实。。】",,
e13/a10,Text,," Girl A
【You can move and talk. In fact, we are quite envious of you. 】"," 失真的少女
【其实我们都蛮羡慕你的。】",,
e13/a11,Text,," Kio
【....】"," Kio
【。。。。。。】",,
e13/a12,Text,," Kio
【How can I do...】"," Kio
【那我，应该怎么办。。】",,
e13/a13,Text,," Girl A
【Just keep fighting.】"," 失真的少女
【没怎么办，加油吧。】",,
e13/a14,Text,," Girl A
【And beware of here is a large monster which is eating people.】"," 失真的少女
【小心学校里吃人的大怪物。】",,
e13/a15,Text,," Kio
【Large monster? Eating people?】"," Kio
【吃人的大怪物！？】",,
e13/a16,Text,," Girl A
【Yes. Be careful.】"," 失真的少女
【是的。。小心。。】",,
e14/a0,Text,," Kio
【I don't like here...】"," Kio
【这里感觉好不舒服。。。。】",,
e14/a1,Text,," Kio
【Mr Bunny?】"," Kio
【兔子先生？】",,
e14/a2,Text,," Kio
【Where are you Mr Bunny?】"," Kio
【亲爱的兔子先生你在哪？？】",,
e14/a3,Text,," Kio
【Here you are!】"," Kio
【原来你在这里啊。】",,
e14/a4,Text,," Kio
【Please don't make a practical joke to scare me.】"," Kio
【拜托，别搞恶作剧吓唬我嘛。】",,
e14/a5,Text,," Kio
【Mr Bunny...】"," Kio
【兔子先生。。。。。】",,
e14/a6,Text,," Kio
【Don't you think there are too many bunnies....】"," Kio
【你的兄弟是不是有点多。。。。。】",,
e14/a7,Text,," Bunny
【.........】"," 兔子
【。。。。。。】",,
e15/a0,Text,," Girl B
【I am stuck.】"," 失真的少女
【我被卡住了。】",,
e15/a1,Text,," Girl B
【Why am I so sad.】"," 失真的少女
【我的命运只能永远这样吗？】",,
e15/a2,Text,," Girl B
【Why only you can move...】"," 失真的少女
【为什么你却可以周围走动。。。】",,
e15/a3,Text,," Girl B
【Why you are not suck?】"," 失真的少女
【为什么卡住的不是你？】",,
e15/a4,Text,," Kio
【....】"," Kio
【。。。。。。】",,
e15/b0,Text,," Girl C
【This room doesn't make any sense.】"," 失真的少女
【这个房间并没有多大的意义。】",,
e15/b1,Text,," Girl C
【Just some bored NPCs here.】"," 失真的少女
【只不过是一些无聊的对话而已。】",,
e15/b2,Text,," Kio
【.....】"," Kio
【。。。。。。】",,
e15/c0,Text,," Boy B
【Hurry up to leave.】"," 失真的少年
【赶紧离开这里吧。】",,
e15/c1,Text,," Kio
【Well, I am trying.】"," Kio
【恩，我正在努力着。】",,
e15/c2,Text,," Boy B
【In aquarium there is a bug which can help you leave.】"," 失真的少年
【在水族馆会有真正的bug，离开这个游戏。】",,
e15/c3,Text,," Kio
【Thank you. I am going to.】"," Kio
【好的，我会加油。】",,
e17/a0,Text,,Get an ID card,得到了一张磁卡,,
e17/aw,Text,,Nothing happened,好像没什么反应,,
f01/a0,Text,," Kio
【Here is the bathroom.】"," Kio
【这里，是学校的澡堂吧。】",,
f01/a1,Text,," Kio
【!!!!!】"," Kio
【！！！】",,
f01/a2,Text,," Kio
【What is that!?】"," Kio
【那！那是什么东西！？】",,
f01/a3,Text,," Kio
【Is that the monster which is eating people!?】"," Kio
【这就是学校里吃人的怪物吗！？】",,
f01/b0,Text,," Kio
【It's finished...】"," Kio
【呼呼。。终于摆平这货了。。。】",,
f01/b1,Text,," Kio
【There is a hole on the wall.】"," Kio
【尸体后面好像有个洞？】",,
f01/b2,Text,," Kio
【I remember someone told me there is an aquarium outside the bathroom.】"," Kio
【我记得那谁说过，学校后面是水族馆，然后水族馆有BUG什么的。。。】",,
f01/b3,Text,," Kio
【Well, just go through that hole and have a look.】"," Kio
【好吧，车到山前必有路，就钻进去瞧瞧吧。】",,
f02/dont go back,Text,," Kio
【Don't wanna go back again.】"," Kio
【不想回头了。】",,
f03/a0,Text,," Kio
【The rain has stopped...】"," Kio
【雨停了。。。。】",,
f03/a1,Text,," Kio
【I think the aquarium is over there.】"," Kio
【前面应该就是水族馆了。】",,
f03/a2,Text,," Kio
【Keep moving.】"," Kio
【既然已经来到这里，坚持下去吧。】",,
savepants/g02,Text,,Aquarium ,水族馆,,
g03/a0,Text,," Giant
【Hello...】"," 巨人
【你好。。。】",,
g03/a1,Text,," Kio
【.....】"," Kio
【。。。。。】",,
g03/a2,Text,," Giant
【Do you come here for the bug which can help you leave the game?】"," 巨人
【你是不是来这里找离开游戏的BUG？】",,
g03/a3,Text,," Kio
【Yes...】"," Kio
【是的。。】",,
g03/a4,Text,," Giant
【Well..】"," 巨人
【嗯。。。。。】",,
g03/a5,Text,," Giant
【In this room.】"," 巨人
【这个房间里。】",,
g03/a6,Text,," Giant
【You stand on the 6th tile from the left side.】"," 巨人
【从左边数起第六格地砖。】",,
g03/a7,Text,," Giant
【And shoot the wall.】"," 巨人
【站在那里对着墙壁开一枪。】",,
g03/a8,Text,," Giant
【After that, you stand on the 4th tile from the left side.】"," 巨人
【然后再到左边数起第4格地砖。】",,
g03/a9,Text,," Giant
【Shoot the wall again.】"," 巨人
【也是站在那里对墙壁开一枪。】",,
g03/a10,Text,," Giant
【Then come back to me when you finish.】"," 巨人
【然后再回来找我吧。】",,
g03/b0,Text,," Kio
【I did what you told.】"," Kio
【我已经按照你说的去做了。】",,
g03/b1,Text,," Kio
【But nothing happened after all.】"," Kio
【什么事情都没有发生啊。】",,
g03/b2,Text,," Giant
【Right, nothing will happen.】"," 巨人
【对啊。不会发生任何事。】",,
g03/b3,Text,," Kio
【............】"," Kio
【。。。。。。。。。。】",,
g03/b4,Text,," Kio
【You make trick to me...】"," Kio
【你耍我啊。。】",,
g03/b5,Text,," Giant
【No. Now you go to the 8th tile from the left side.】"," 巨人
【不不不，你现在只要走去左起第八格墙壁。】",,
g03/b6,Text,," Giant
【And touch the wall.】"," 巨人
【然后摸一下墙壁就能离开了。】",,
g03/b7,Text,," Kio
【......】"," Kio
【。。。。。。。。。。】",,
g03/b8,Text,," Kio
【I can't trust...】"," Kio
【感觉不太可信。。】",,
g03/b9,Text,," Giant
【It's real....】"," 巨人
【是真的。。。】",,
g03/b10,Text,," Kio
【OK. I have a try.】"," Kio
【好吧。我去试试。】",,
g03/w,Text,,Touch the wall?,是否要摸一下墙壁?,,
g03/c0,Text,," Giant
【Why did you shoot me?】"," 巨人
【哇，你干嘛开枪打我。】",,
g03/c1,Text,," Giant
【Luckily this is a bullet proof glass.】"," 巨人
【幸好这个是防弹玻璃。】",,
g03/c2,Text,," Giant
【Well I tell you something.】"," 巨人
【那我告诉你一件事情吧。】",,
g03/c3,Text,," Giant
【Stand on the 17th tile from the left side.】"," 巨人
【从左边数起第十七格的墙壁，你摸摸看。】",,
g03/c4,Text,," Giant
【Touch the wall.】"," 巨人
【会有意外收获。】",,
g05/a0,Text,," Kio
【Ah!! This place!!】"," Kio
【这里！！！这里！！！】",,
g05/a1,Text,," Kio
【This is the room that imprison Domini!】"," Kio
【这里不就是困住多明妮的地方吗！？】",,
g05/a2,Text,," Kio
【Domini!! Where are you!?】"," Kio
【多明妮！！！你在哪里！？】",,
g05/a3,Text,," Kio
【Should be closed!!】"," Kio
【一定在附近！赶紧找！】",,
g05/b0,Text,," Kio
【Domini!!】"," Kio
【多明妮！！！】",,
g05/b1,Text,," Kio
【Where are you!???】"," Kio
【你在哪里啊！！！】",,
g05/b2,Text,," Kio
【I come for you!!】"," Kio
【我来救你啦！！！！！！】",,
g05/c0,Text,," Kio
【Ah!!】"," Kio
【啊！！！】",,
g05/c1,Text,," Kio
【Domini!!】"," Kio
【多明妮！！！】",,
g05/c2,Text,," Kio
【How are you!!?】"," Kio
【你怎么了！！！】",,
g05/c3,Text,," Kio
【I am going to free you!】"," Kio
【我来放你下来！】",,
g05/c4,Text,," Kio
【!!!!!!】"," Kio
【！！！！！！！！！！】",,
g05/c5,Text,," Domini
【.........】"," 多明妮
【。。。。。。】",,
g05/c6,Text,," Kio
【!!!!!!】 "," Kio
【！！！！！！！！】",,
g05/c7,Text,," Kio
【Ahhhhhh!!!!!】"," Kio
【哇啊啊啊啊！！！！！】",,
g05/c8,Text,," Kio
【Ahhhhhhhh!!!!!!!!!!!!!】"," Kio
【哇哇哇哇哇啊啊啊啊啊！！！】",,
g05/c9,Text,," Kio
【No!!!!】"," Kio
【不要啊！！！！！！！！！】",,
g05/c10,Text,," Kio
【No no no no!!】"," Kio
【啊啊啊啊啊！！！】",,
g05/c11,Text,," Kio
【Boohoo!!】"," Kio
【呜呜呜呜呜！】",,
g05/c12,Text,," Domini
【Kio....】"," 多明妮
【Kio。。。。。】",,
g05/c13,Text,," Domini
【Leave me alone..】"," 多明妮
【快离开吧。。。】",,
g05/c14,Text,," Domini
【Go to find the bug.】"," 多明妮
【找到能逃离游戏的Bug】",,
g05/c15,Text,," Domini
【Maybe it can help me...】"," 多明妮
【或许能救我。。。】",,
g05/c16,Text,," Kio
【OK!! Wait for me!!】"," Kio
【好的！你等我！！】",,
g05/c17,Text,," Kio
【I will save you!! I swear!!】"," Kio
【我一定会回来救你的！】",,
g05/d,Text,," Kio
【Woooo....】"," Kio
【呜呜呜呜。】",,
h/a,Text,,Go into my computer?,是否要进入我的电脑?,,
savepants/h04,Text,,Bug,漏洞,,
h05/a0,Text,," Kio
【Where am I?】"," Kio
【这里到底是什么地方啊。】",,
h05/a1,Text,," Kio
【Where should I go?】"," Kio
【要去哪里才能离开？】",,
h05/a2,Text,," Boss
【Hahahaha!】"," 最终Boss
【哈哈哈哈哈哈！】",,
h05/a3,Text,," Boss
【Want to leave? Try to defeat me at first!】"," 最终Boss
【想离开！？你能打赢我吗！？】",,
h05/a4,Text,," Kio
【!!!!???】"," Kio
【！？？！？！】",,
h05/a5,Text,," Kio
【Who is that!?】"," Kio
【什么人！！】",,
hboss/a0,Text,," Boss
【I am the final boss of this game!】"," 最终Boss
【我，就是这个游戏的最终boss！】",,
hboss/a1,Text,," Kio
【Final boss??】"," Kio
【最终boss？？？】",,
hboss/a2,Text,," Boss
【Right. In a game there should be a final boss.】"," 最终Boss
【对的，作为一个游戏，有最终Boss很合情合理。】",,
hboss/a3,Text,," Boss
【Althrough it can not prove that you are a powerful player.】"," 最终Boss
【你能打到来这里，虽然证明不了你是个厉害的玩家。】",,
hboss/a4,Text,," Boss
【At least you are a senior player.】"," 最终Boss
【不过，你一定是一个老玩家。】",,
hboss/a5,Text,," Boss
【A junior player have no patience to go through this hard game and meet me.】"," 最终Boss
【新时代的年轻人的耐性与技术是不可能见到我的。】",,
hboss/a6,Text,," Boss
【Because the new games are too simple in this decade.】"," 最终Boss
【因为现代的游戏都太简单了。】",,
hboss/a7,Text,," Boss
【If you spend enough time that you almost can go through every game.】"," 最终Boss
【只要花时间，就一定能通关。】",,
hboss/a8,Text,," Boss
【But the old games are less guid and more difficult than the new ones.】"," 最终Boss
【但是以前的游戏却不一样，指引很少，而且难度也高。】",,
hboss/a9,Text,," Boss
【I appreciate that you come here ande meet me.】"," 最终Boss
【恭喜你能来到这里。】",,
hboss/a10,Text,," Boss
【However you have to defeat me to reach the ending.】"," 最终Boss
【不过，你能打赢我再说吧！】",,
hboss/a11,Text,," Boss
【If you lose, you must listen to my bullshit again.】"," 最终Boss
【如果你输了的话，又得重新看多一次刚刚的剧情。哈哈哈！】",,
hboss/a12,Text,," Boss
【This is a kind of old games.】"," 最终Boss
【这就是老游戏。】",,
hboss/b0,Text,," Boss
【Well done.】"," 最终Boss
【哈哈，不错嘛。】",,
hboss/b1,Text,," Boss
【Next that is my real power!】"," 最终Boss
【接下来才是我真正的实力！】",,
hboss/b2,Text,," Boss
【Let's fight.】"," 最终Boss
【放马过来。】",,
hboss/c0,Text,," Boss
【........】"," 最终Boss
【。。。。。。】",,
hboss/c1,Text,," Boss
【........】"," 最终Boss
【。。。。。。。。】",,
hboss/c2,Text,," Boss
【............】"," 最终Boss
【。。。。。。。。。。。。。】",,
hboss/c3,Text,," Boss
【Congratulations!】"," 最终Boss
【恭喜你。】",,
hboss/c4,Text,," Boss
【You beat me.】"," 最终Boss
【你赢了。】",,
hboss/c5,Text,," Boss
【You win.】"," 最终Boss
【你打败我了。】",,
hboss/c6,Text,," Boss
【It looks like the game maker didn't make me strong engough.】"," 最终Boss
【看来制作者并没有把我设计得太强。】",,
hboss/c7,Text,," Boss
【I overestimate myself.】"," 最终Boss
【我高估了自己。】",,
hboss/c8,Text,," Boss
【Bye.】"," 最终Boss
【再见了。】",,
end/a0,Text,," Kio
【.......】"," Kio
【。。。。。。。】",,
end/a1,Text,," Kio
【Is it..?】"," Kio
【这样。。。。。。】",,
end/a2,Text,," Kio
【Is it the end..?】"," Kio
【这样就结束了吗。。。】",,
end/a3,Text,," Kio
【Where am I now..?】"," Kio
【我现在是在哪。。】",,
